8
0.50  -0.866025404   0.000000
0.50   0.866025404   0.000000
0.00   0.000000000   3.268873
2   0.00000000  0.00000000  0.00000000
2   0.00000000  0.00000000  5.04240000
1   0.00000000  0.00000000  1.89090000
1   0.00000000  0.00000000  6.93330000
2   1.54025500  0.88926664  2.51943516
2   1.54025500 -0.88926664  7.56183516
1   1.54025500  0.88926664  4.41033516
1   1.54025500 -0.88926664  9.45273516


